Data;Dia da Semana;Feriado;;;
01/01/2001;segunda-feira;Confraternizaá∆o Universal;;;
26/02/2001;segunda-feira;Carnaval;;;
27/02/2001;teráa-feira;Carnaval;30/08/2016;17/01/2030;3357
13/04/2001;sexta-feira;Paix∆o de Cristo;;;
21/04/2001;s†bado;Tiradentes;;;
01/05/2001;teráa-feira;Dia do Trabalho;;;
14/06/2001;quinta-feira;Corpus Christi;;;
07/09/2001;sexta-feira;Independància do Brasil;;;
12/10/2001;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2001;sexta-feira;Finados;;;
15/11/2001;quinta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2001;teráa-feira;Natal;;;
01/01/2002;teráa-feira;Confraternizaá∆o Universal;;;
11/02/2002;segunda-feira;Carnaval;;;
12/02/2002;teráa-feira;Carnaval;;;
29/03/2002;sexta-feira;Paix∆o de Cristo;;;
21/04/2002;domingo;Tiradentes;;;
01/05/2002;quarta-feira;Dia do Trabalho;;;
30/05/2002;quinta-feira;Corpus Christi;;;
07/09/2002;s†bado;Independància do Brasil;;;
12/10/2002;s†bado;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2002;s†bado;Finados;;;
15/11/2002;sexta-feira;Proclamaá∆o da Rep£blica;;;
25/12/2002;quarta-feira;Natal;;;
01/01/2003;quarta-feira;Confraternizaá∆o Universal;;;
03/03/2003;segunda-feira;Carnaval;;;
04/03/2003;teráa-feira;Carnaval;;;
18/04/2003;sexta-feira;Paix∆o de Cristo;;;
21/04/2003;segunda-feira;Tiradentes;;;
01/05/2003;quinta-feira;Dia do Trabalho;;;
19/06/2003;quinta-feira;Corpus Christi;;;
07/09/2003;domingo;Independància do Brasil;;;
12/10/2003;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil;;;
02/11/2003;domingo;Finados;;;
15/11/2003;s†bado;Proclamaá∆o da Rep£blica;;;
25/12/2003;quinta-feira;Natal;;;
01/01/2004;quinta-feira;Confraternizaá∆o Universal;;;
23/02/2004;segunda-feira;Carnaval;;;
24/02/2004;teráa-feira;Carnaval;;;
09/04/2004;sexta-feira;Paix∆o de Cristo;;;
21/04/2004;quarta-feira;Tiradentes;;;
01/05/2004;s†bado;Dia do Trabalho;;;
