"Atendimentos entre 01/04/2023 e 30/04/2023"
"Categorias: Todas"
"Serviços: Todas"
"Profissionais: Todas"
"Visualizar por: Serviço"
"Considerar consumo de pacote: Sim"
"Relatório gerado em 16/05/2023 às 10:21"
""
"Posição";"Serviço";"Categoria";"Qtd de serviços realizados";"Qtd de clientes";"Qtd de atendimentos";"Média de serviços por atendimentos";"Valor total";"Ticket médio";"% Sobre Total dos Serviços Listados"
"1";"Limpeza de Pele Completa";"Estética Facial";"31";"29";"29";"1,07";"5.466,00";"188,48";"34,30%"
"2";"Design de Sobrancelha";"Embelezamento do Olhar";"48";"46";"47";"1,02";"2.128,00";"45,28";"13,35%"
"3";"Massagem Relaxante";"Estética Corporal";"7";"6";"6";"1,17";"900,00";"150,00";"5,65%"
"4";"Design de Sobrancelhas + Buço";"Embelezamento do Olhar";"15";"15";"15";"1,00";"895,00";"59,67";"5,62%"
"5";"Depilação de Virilha Completa";"Depilação com Cera";"10";"10";"10";"1,00";"769,00";"76,90";"4,83%"
"6";"Micropigmentação Sobrancelhas";"Embelezamento do Olhar";"1";"1";"1";"1,00";"650,00";"650,00";"4,08%"
"7";"Bella Slim - Modeladora + Aparelho";"Estética Corporal";"6";"3";"6";"1,00";"600,00";"100,00";"3,77%"
"8";"Manutenção de Cílios";"Embelezamento do Olhar";"4";"4";"4";"1,00";"545,00";"136,25";"3,42%"
"9";"Microagulhamento";"Estética Facial";"2";"2";"2";"1,00";"530,00";"265,00";"3,33%"
"10";"Drenagem Linfática";"Estética Corporal";"8";"7";"7";"1,14";"502,98";"71,85";"3,16%"
"11";"Extensão de Cílios";"Embelezamento do Olhar";"3";"3";"3";"1,00";"445,00";"148,33";"2,79%"
"12";"Design de Sobrancelhas + Henna";"Embelezamento do Olhar";"7";"6";"7";"1,00";"380,00";"54,29";"2,38%"
"13";"Massagem Modeladora";"Estética Corporal";"3";"2";"3";"1,00";"340,00";"113,33";"2,13%"
"14";"Brow Lamination";"Embelezamento do Olhar";"2";"2";"2";"1,00";"300,00";"150,00";"1,88%"
"15";"Depilação de Meia Perna";"Depilação com Cera";"6";"5";"6";"1,00";"285,00";"47,50";"1,79%"
"16";"LIP - Buço";"Depilação a Luz Pulsada";"2";"2";"2";"1,00";"195,00";"97,50";"1,22%"
"17";"Design de Sobrancelhas + Coloração";"Embelezamento do Olhar";"3";"3";"3";"1,00";"180,00";"60,00";"1,13%"
"18";"Depilação Buço - Cera ou linha";"Estética Facial";"6";"6";"6";"1,00";"120,00";"20,00";"0,75%"
"19";"Depilação de Axilas";"Depilação com Cera";"4";"4";"4";"1,00";"115,00";"28,75";"0,72%"
"20";"Depilação de Buço";"Depilação com Cera";"5";"5";"5";"1,00";"110,00";"22,00";"0,69%"
"21";"Redux Slim";"Estética Corporal";"1";"1";"1";"1,00";"100,00";"100,00";"0,63%"
"22";"Drenagem Linfática com Aparelho";"Estética Corporal";"1";"1";"1";"1,00";"100,00";"100,00";"0,63%"
"23";"LIP - Mento";"Depilação a Luz Pulsada";"1";"1";"1";"1,00";"85,00";"85,00";"0,53%"
"24";"LIP - Virilha";"Depilação a Luz Pulsada";"1";"1";"1";"1,00";"85,00";"85,00";"0,53%"
"25";"LIP - Queixo";"Depilação a Luz Pulsada";"1";"1";"1";"1,00";"50,00";"50,00";"0,31%"
"26";"Depilação de Nariz";"Depilação com Cera";"1";"1";"1";"1,00";"30,00";"30,00";"0,19%"
"27";"Depilação Masculina - Nariz";"Depilação Masculina";"1";"1";"1";"1,00";"15,00";"15,00";"0,09%"
"28";"Depilação Masculina - Orelhas";"Depilação Masculina";"1";"1";"1";"1,00";"15,00";"15,00";"0,09%"
"29";"Limpeza de Pele Simples";"Estética Facial";"1";"1";"1";"1,00";"0,00";"0,00";"0,00%"
"30";"Spa Princesa";"Day Spa";"1";"1";"1";"1,00";"0,00";"0,00";"0,00%"
